candidate,host_p50_ms_per_batch,host_p95_ms_per_batch,host_mean_ms_per_batch,host_iqr_ms_per_batch,benchmark_repetitions,timed_inner_loops,timed_region_p50_ms,deterministic_service_p50_ms,deterministic_service_p95_ms,service_latency_source,peak_memory_mb,artifact_size_mb,token_retention_rate,small_evidence_retention_rate,cache_latency_multiplier,accuracy,macro_f1,small_defect_recall,image_to_text_recall,text_to_image_recall_at_5,retrieval_recall,ece,eligible,global_pareto_efficient,feasible_pareto_efficient,latency_improvement_fraction,artifact_reduction_fraction,meaningful_systems_benefit,statuses
reference,0.063446665,0.06621368749999999,0.063641647,0.0012522925000000018,20,100,6.344666500000001,8.0,8.96,deterministic_workload_model_v1,0.025476,0.007044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1182362288236618,True,False,False,0.0,0.0,False,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'PASS', 'retrieval': 'PASS', 'calibration': 'PASS', 'critical_evidence': 'PASS'}"
low_resolution_fast_unsafe,0.04767271,0.048419205,0.04766797899999999,0.0007608249999999997,20,100,4.767271,5.333333333333333,5.973333333333334,deterministic_workload_model_v1,0.009092,0.007044,1.0,1.0,1.0,1.0,1.0,0.707317054271698,0.6666666865348816,0.6666666666666666,0.6666666666666666,0.32461705803871155,False,True,False,0.33333333333333337,0.0,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'FAIL', 'retrieval': 'FAIL', 'calibration': 'FAIL', 'critical_evidence': 'PASS'}"
token_pruning_50,0.062963335,0.064293149,0.0630562925,0.0007140650000000137,20,100,6.296333499999999,6.5,7.280000000000001,deterministic_workload_model_v1,0.025476,0.007044,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1182362288236618,False,True,False,0.1875,0.0,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'PASS', 'retrieval': 'PASS', 'calibration': 'PASS', 'critical_evidence': 'FAIL'}"
int8_like,0.06656396,0.06959655899999999,0.06628643850000002,0.0022213549999999943,20,100,6.656396,6.880000000000001,7.705600000000001,deterministic_workload_model_v1,0.020193,0.001761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11820673942565918,True,True,True,0.1399999999999999,0.75,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'PASS', 'retrieval': 'PASS', 'calibration': 'PASS', 'critical_evidence': 'PASS'}"
int8_same_accuracy_bad_calibration,0.06646667,0.068744229,0.066705812,0.002001557499999987,20,100,6.646667,6.880000000000001,7.705600000000001,deterministic_workload_model_v1,0.020193,0.001761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5665509700775146,False,True,False,0.1399999999999999,0.75,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'PASS', 'retrieval': 'PASS', 'calibration': 'FAIL', 'critical_evidence': 'PASS'}"
structured_width_6,0.059718955000000004,0.061653333000000005,0.059581312,0.0020095850000000012,20,100,5.9718955000000005,6.123793299261783,6.858648495173198,deterministic_workload_model_v1,0.0217,0.003268,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1074216365814209,False,True,False,0.23452583759227708,0.5360590573537762,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'FAIL', 'retrieval': 'PASS', 'calibration': 'PASS', 'critical_evidence': 'PASS'}"
task_only_student,0.059907705,0.0644724725,0.060495853499999995,0.002328332499999995,20,100,5.9907705,6.123793299261783,6.858648495173198,deterministic_workload_model_v1,0.0217,0.003268,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.08641422539949417,False,False,False,0.23452583759227708,0.5360590573537762,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'FAIL', 'retrieval': 'FAIL', 'calibration': 'PASS', 'critical_evidence': 'PASS'}"
multimodal_student,0.060222495,0.061208934500000006,0.06009291600000001,0.0014556224999999964,20,100,6.022249499999999,6.123793299261783,6.858648495173198,deterministic_workload_model_v1,0.0217,0.003268,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.05907362699508667,False,False,False,0.23452583759227708,0.5360590573537762,True,"{'service_latency': 'PASS', 'peak_memory': 'PASS', 'artifact_size': 'PASS', 'classification': 'PASS', 'small_defect': 'FAIL', 'retrieval': 'FAIL', 'calibration': 'PASS', 'critical_evidence': 'PASS'}"
